,nums,labels
0,cent quarante huit; cent soixante dix neuf,1
22124,sept cent trente; cinq cent quarante,0
22125,deux cent seize; trois cent quatre vingt cinq,1
22126,huit cent quatre vingt dix; deux cent trente quatre,0
22127,cinq cent soixante quinze; neuf cent soixante,1
22128,cinq cent quatre vingt seize; neuf cent seize,1
22129,huit cent sept; cent quatre vingt dix sept,0
22130,deux cent trente; quatre vingt quatorze,0
22131,neuf cent sept; cent quatre vingt treize,0
22132,huit cent cinq; sept cent soixante quinze,0
22133,cent vingt deux; sept cent quatre vingt dix huit,1
22134,six cent quatre vingt un; cinq cent douze,0
22135,cinq cent vingt huit; trois cent soixante,0
22136,neuf cent trente et un; six cent cinq,0
22137,neuf cent quatre vingt treize; deux cent quatre vingt un,0
22138,trois cent trente huit; huit cent vingt huit,1
22139,huit cent deux; six cent cinquante neuf,0
22140,neuf cent vingt; neuf cent quarante,1
22141,deux cent soixante treize; cent quatre vingt seize,0
22142,quatre vingt six; huit cent trente sept,1
22143,neuf cent vingt huit; cinq cent deux,0
22144,sept cent quarante deux; cent quarante et un,0
22145,quatre cent quatre; neuf cent quatre vingt cinq,1
22146,cinq cent quatorze; trois cent quarante huit,0
22147,cent quinze; deux cent treize,1
22148,sept cent quarante cinq; six cent cinquante trois,0
22149,huit cent quatre vingt onze; cinq cent vingt six,0
22150,cent quarante neuf; neuf cent cinquante neuf,1
22151,cent vingt; cinq cent vingt neuf,1
22152,six cent quatre vingt dix; six cent dix,0
22153,deux cent quatre vingts; cent six,0
22154,deux cent onze; six cent soixante trois,1
22155,cent soixante dix neuf; deux cent trois,1
22156,deux cent sept; neuf cent cinquante cinq,1
22157,deux cent quatre vingt dix huit; cent quatre vingts,0
22158,deux cent quarante et un; neuf cent sept,1
22159,cinq cent treize; quatre vingt un,0
22160,cent quarante six; six cent trente neuf,1
22161,quatre vingt sept; cinq cent vingt et un,1
22162,neuf cent trente six; cinq cents,0
22163,cent trois; six cent vingt neuf,1
22164,quatre cent cinq; huit cent soixante deux,1
22165,cinquante; neuf cent soixante et onze,1
22166,quatre cent soixante douze; quatre cent cinquante sept,0
22167,cent cinquante huit; trente,0
22168,cent cinquante quatre; neuf cent quatre vingt quatre,1
22169,six cent trente deux; soixante sept,0
22170,trois cent trente cinq; quatre cent quatre vingt sept,1
22171,sept cent trente sept; neuf cent vingt deux,1
22172,six cent quatre vingt neuf; cent cinquante et un,0
22173,cinq cent soixante deux; quatre cent huit,0
22174,six cent vingt cinq; neuf cent soixante huit,1
22175,cinq cent deux; quatre cent cinquante,0
22176,sept cent quatre vingt neuf; sept cent trente huit,0
22177,deux cent cinq; cinquante deux,0
22178,quatre vingt treize; six cent dix neuf,1
22179,six cent cinquante huit; huit cent soixante neuf,1
22180,neuf cent quatre vingt dix; trois cent trente six,0
22181,sept cent trente trois; sept cent dix neuf,0
22182,cent cinquante trois; sept cent soixante et onze,1
22183,neuf cent soixante douze; neuf cent quarante six,0
22184,quatre cent trois; cinq cent trente neuf,1
22185,neuf cent soixante treize; six cent cinquante six,0
22186,soixante sept; soixante seize,1
22187,huit cent quatre vingt dix; soixante et onze,0
22188,cent neuf; neuf cent trente cinq,1
22189,sept cent soixante dix; quatre cent cinq,0
22190,trois cent quatre vingts; cent soixante dix,0
22191,deux cent trente; soixante cinq,0
22192,sept cent soixante seize; sept cent quatre vingt six,1
22193,six cent dix neuf; cent trente huit,0
22194,six cent vingt huit; quatre vingt douze,0
22195,cent huit; neuf cent quatre vingt treize,1
22196,cent quarante deux; huit cent quatre vingt trois,1
22197,trois cent quatre vingt trois; huit cent quatre vingt dix huit,1
22198,huit cent quarante neuf; neuf cent cinq,1
22199,neuf cent soixante douze; trois cent seize,0
22200,huit cent soixante quinze; trois cent quatre vingt onze,0
22201,deux cent treize; quatre cent quinze,1
22202,trois cent trente et un; cent deux,0
22203,cent cinquante sept; huit cent quatre vingt neuf,1
22204,cent cinquante six; cinq cent vingt huit,1
22205,quatre cent vingt et un; cinq cent quatre vingt dix huit,1
22206,quatre cent six; six cent vingt sept,1
22207,vingt; quatre cent quatre vingt quatre,1
22208,huit cent vingt huit; sept cent quatre vingt dix neuf,0
22209,quatre vingt onze; sept cent vingt cinq,1
22210,sept cent cinquante neuf; cent quatre vingt quinze,0
22211,soixante dix sept; soixante et un,0
22212,quatre cent quatre vingt dix huit; deux cent vingt trois,0
22213,trois cent soixante quinze; huit cent vingt huit,1
22214,sept cent douze; cinq cent soixante et un,0
22215,six cents; quatre cent trente cinq,0
22216,cent quinze; six cent soixante six,1
22217,sept cent dix; quatre cent quarante neuf,0
22218,trois cent soixante sept; deux cent soixante dix,0
22219,vingt huit; cent trente sept,1
22220,quatre cent quatorze; sept cent quatre,1
22221,six cent quarante deux; neuf cent quatre,1
22222,huit cent trente cinq; deux cent cinq,0
22223,quatre cent quatre vingt douze; sept cent soixante neuf,1
22224,cinq cent quatre vingt seize; sept cent trente deux,1
22225,quatre vingt quinze; sept cent vingt neuf,1
22226,huit cent vingt neuf; deux cent trente trois,0
22227,six cent cinquante et un; quatre cent trente trois,0
22228,cinq cent cinquante quatre; quarante six,0
22229,cinq cent trente deux; six cent huit,1
22230,deux cent soixante dix huit; quatre cent quatre vingt neuf,1
22231,neuf cent un; deux cent vingt trois,0
22232,sept cent un; cent cinquante huit,0
22233,quatre cent trente huit; quatre cent cinquante cinq,1
22234,trois cent quarante; quatre cent quatre,1
22235,cent quatre vingt six; sept cent cinquante neuf,1
22236,cent trente et un; trois cent quatre,1
22237,deux cent soixante dix; six cent quarante,1
22238,soixante dix neuf; soixante neuf,0
22239,cinquante trois; quatre cent soixante dix huit,1
22240,six cent trente; deux cent deux,0
22241,sept cents; cinq cent cinquante cinq,0
22242,cinq cent soixante dix huit; huit cent vingt quatre,1
22243,deux cent vingt et un; quatre cent soixante dix,1
22244,quatre cent quatre; huit cent soixante quatorze,1
22245,sept cent trente cinq; quatre cent cinquante trois,0
22246,cent seize; deux cent quatre vingt dix huit,1
22247,huit cent cinquante cinq; six cent quatorze,0
22248,deux cent quatre vingt dix huit; dix sept,0
22249,deux cent quatre vingt quatre; quatre cent soixante dix huit,1
22250,deux cent quatre vingt dix; six cent trente cinq,1
22251,cinq cent cinq; trois cent dix,0
22252,deux cent vingt deux; neuf cent quarante six,1
22253,deux cent soixante huit; six cent soixante deux,1
22254,deux cent trente et un; quatre cent un,1
22255,sept cent quatre vingt douze; cent dix huit,0
22256,quatre cent huit; six cent soixante six,1
22257,six cent quarante quatre; six cent quatre vingt dix huit,1
22258,deux cent quinze; sept cent vingt deux,1
22259,sept cent soixante cinq; quarante sept,0
22260,six cent quatre vingts; cinq cent soixante et un,0
22261,neuf cent soixante six; six cent quatre vingt dix,0
22262,neuf cent douze; sept cent cinquante sept,0
22263,six cent cinquante et un; quatre cent soixante dix,0
22264,cinq cent vingt sept; soixante dix sept,0
22265,trois cent un; sept cent cinquante et un,1
22266,cent soixante dix; quatre cent quatre vingt trois,1
22267,six cent quatre vingt trois; sept cent quatre vingt dix neuf,1
22268,neuf cent six; neuf cent soixante sept,1
22269,cent vingt quatre; huit cent quarante quatre,1
22270,quatre cent trente sept; huit cent vingt quatre,1
22271,cent quatre vingt quinze; six,0
22272,six cent soixante six; trois cent soixante huit,0
22273,vingt six; trente cinq,1
22274,neuf cent soixante treize; six cent quarante quatre,0
22275,six cent soixante treize; quatre cent quarante quatre,0
22276,neuf cent soixante deux; quatre cent soixante dix neuf,0
22277,huit cent trente cinq; sept cent treize,0
22278,sept cent douze; six cent quatre vingt onze,0
22279,huit cent quatre vingt douze; soixante neuf,0
22280,quatre cent soixante treize; quarante sept,0
22281,six cent cinquante huit; trois cent quarante quatre,0
22282,trente deux; huit cent cinquante et un,1
22283,trois cent quatre vingt treize; cent soixante huit,0
22284,deux cent soixante cinq; trois cent quarante sept,1
22285,sept cent soixante cinq; cinq cent vingt cinq,0
22286,cinq cent quatre vingt douze; six cent vingt trois,1
22287,soixante six; trois cent trente deux,1
22288,quatre cent soixante dix; cinq cent six,1
22289,sept cent trente; cinq cent seize,0
22290,cent soixante cinq; deux cent trente,1
22291,trois cent cinquante trois; trois cent soixante huit,1
22292,deux cent quatre vingt sept; neuf cent cinq,1
22293,huit cent quarante huit; quatre cent quarante huit,0
22294,six cent cinquante sept; quatre cent quatre vingt trois,0
22295,huit cent soixante deux; trois cent dix,0
22296,quatre cent quatre vingts; cent quatorze,0
22297,cent quatre vingt huit; quatre cent onze,1
22298,deux cent cinquante neuf; huit cent quatre vingt douze,1
22299,quatre vingt neuf; quatre cent quatre vingt dix,1
22300,cinq cent soixante trois; six cent soixante huit,1
22301,quatre cent soixante cinq; trente,0
22302,neuf cent quarante quatre; neuf cent un,0
22303,huit cent cinquante huit; sept cent cinq,0
22304,deux cent quatre vingt dix neuf; cent six,0
22305,trois cent dix huit; quatre cent onze,1
22306,quatre cent vingt deux; quatre cent soixante sept,1
22307,huit cent quatre vingt seize; huit cent quatre vingt trois,0
22308,sept cent quatre vingt douze; trois cent soixante,0
22309,huit cent trente neuf; sept cent quatre vingt neuf,0
22310,cent trente sept; sept cent cinquante sept,1
22311,sept cent quarante et un; trois cent soixante et onze,0
22312,huit; six cent dix neuf,1
22313,trois cent sept; huit cents,1
22314,cinq cent quatre vingt huit; cent quatre vingt un,0
22315,sept cent quatre vingt neuf; neuf cent trente neuf,1
22316,six cent quarante cinq; quatre cent soixante huit,0
22317,cinq cent quatre; neuf cent soixante dix,1
22318,deux cent soixante seize; cent soixante quatorze,0
22319,sept cent huit; vingt huit,0
22320,six cent vingt; cent soixante douze,0
22321,cent soixante dix neuf; quatre cent soixante douze,1
22322,huit cent quatre vingt six; neuf cent cinquante sept,1
22323,trois cent soixante douze; quatre cent quatre vingt deux,1
22324,sept cent trente cinq; deux cent six,0
22325,cent soixante trois; sept cent vingt six,1
22326,six cent soixante dix; trois cent quarante sept,0
22327,neuf cent quatre vingt trois; cent quatre vingt un,0
22328,neuf cent cinquante six; sept cent cinquante huit,0
22329,soixante trois; neuf cent quarante deux,1
22330,quatre cent cinquante et un; sept cent soixante quatre,1
22331,cinq cent cinquante sept; six cent trente quatre,1
22332,deux cent vingt cinq; deux cent vingt,0
22333,cinq cent quatre vingt dix; cinq cent soixante quatre,0
22334,six cent vingt; sept cent soixante cinq,1
22335,six cent quatre vingt huit; huit cent cinquante huit,1
22336,neuf cent soixante et un; cinq cent quarante trois,0
22337,six cent quatre vingt huit; neuf,0
22338,six cent huit; quatre cent trente neuf,0
22339,trois cent vingt; cent quatre vingt huit,0
22340,neuf cent quatre vingt quinze; neuf cent quatorze,0
22341,six cent soixante cinq; cent soixante quatorze,0
22342,cinq cent soixante six; deux cent trente deux,0
22343,huit cent soixante dix huit; cent trente sept,0
22344,quatre cent vingt deux; neuf cent quatorze,1
22345,cent soixante cinq; huit cent quatre vingt six,1
22346,sept cent cinquante six; cinq cent quatre vingt neuf,0
22347,sept cent trente trois; deux cent vingt trois,0
22348,neuf cent vingt; huit cent quatre vingt quatorze,0
22349,deux cent quatre vingts; quatre cent soixante dix huit,1
22350,sept cent douze; quatre cent neuf,0
22351,sept cent trente neuf; deux cent trente et un,0
22352,trente deux; quatre vingt trois,1
22353,trois cent trente quatre; sept cent trois,1
22354,six cent soixante quinze; onze,0
22355,sept cent quatre vingt six; sept cent trente et un,0
22356,huit cent cinquante neuf; vingt quatre,0
22357,cent dix sept; soixante cinq,0
22358,trois cent soixante six; quatre vingt onze,0
22359,soixante cinq; deux cent cinq,1
22360,sept cent quatre vingt dix sept; six cent treize,0
22361,six cent quinze; quatre cent soixante treize,0
22362,quatre vingt trois; neuf cent six,1
22363,cent quatre vingt quinze; quatre cent vingt neuf,1
22364,cent quatre vingt dix; trois cent quatre vingt dix sept,1
22365,neuf cent quarante trois; six cent douze,0
22366,cent dix neuf; cent trente et un,1
22367,neuf cent quatre vingt huit; huit cent quatre vingt deux,0
22368,trois cent trente sept; deux cent quatre vingt sept,0
22369,six cent cinquante cinq; quatre cent quatre vingt neuf,0
22370,cinq cent deux; huit cent trente huit,1
22371,cinq cent vingt quatre; huit cent quarante huit,1
22372,sept cent dix sept; cinq cent quatre vingt quatre,0
22373,deux cent quatre vingt un; six cent vingt deux,1
22374,trois cent quarante trois; six cent douze,1
22375,vingt cinq; huit cent onze,1
22376,neuf cent sept; trois cent quatre vingt huit,0
22377,sept cent vingt neuf; huit cent trente huit,1
22378,cent un; huit cent soixante neuf,1
22379,quatre cent un; cent vingt huit,0
22380,trois cent soixante dix; six cent quarante quatre,1
22381,huit cent quarante deux; cinq cent vingt trois,0
22382,trois cent quarante deux; huit cent soixante seize,1
22383,cent cinquante trois; deux cent quatre vingt un,1
22384,sept cent trois; quatre cent soixante dix,0
22385,deux cent soixante treize; neuf cent quatre vingt dix huit,1
22386,huit cent quatre vingt trois; trois cent soixante six,0
22387,trois cent soixante seize; quatre cent soixante dix huit,1
22388,cinq cent un; huit cent soixante neuf,1
22389,trois cent soixante quatre; neuf cent cinquante trois,1
22390,six cent treize; quatre cent cinquante,0
22391,huit cent vingt six; trois cent quatre vingt quinze,0
22392,sept cent soixante seize; neuf cent quatre vingt dix huit,1
22393,soixante dix neuf; dix sept,0
22394,trois cent vingt cinq; cinq cent quatre vingt dix sept,1
22395,cinq cent soixante et onze; soixante trois,0
22396,neuf cent six; huit cent trente,0
22397,six cent soixante seize; sept cent quatre vingt six,1
22398,neuf cent cinquante deux; six cent cinquante et un,0
22399,huit cent dix sept; six cent cinquante quatre,0
22400,quatre cent quarante huit; huit cent dix neuf,1
22401,quatre cent cinquante; huit cent dix huit,1
22402,deux cent quatre vingt sept; trois cent quatre vingt quatorze,1
22403,cinq cent quatre vingt onze; cinq cent quatre vingt treize,1
22404,sept cent soixante dix neuf; deux cent soixante six,0
22405,huit cent quarante huit; sept cent vingt deux,0
22406,sept cent cinquante sept; quarante huit,0
22407,huit cent soixante sept; sept cent quatre vingt un,0
22408,six cent cinq; trois cent huit,0
22409,trois cent quatre vingt dix; quatre cent onze,1
22410,cinq cent cinq; deux cent soixante deux,0
22411,deux cent quatre vingt quinze; cinq cent trente deux,1
22412,cinq cent trente et un; cinq cent seize,0
22413,trois cent vingt deux; trois cent quatre vingt dix huit,1
22414,cinq cent cinquante deux; deux cent soixante deux,0
22415,sept cent vingt deux; soixante quinze,0
22416,cinq cent vingt neuf; sept cent treize,1
22417,huit cent cinquante sept; cinq cent quatre vingt six,0
22418,cent vingt quatre; six cent trente deux,1
22419,sept cent quatre vingt dix neuf; sept cent quarante quatre,0
22420,quarante huit; quatre cent trente sept,1
22421,deux cent trente et un; mille,1
22422,cinq cent trente neuf; trois cent quarante neuf,0
22423,trois cent soixante; trois cent quatre vingt sept,1
22424,quatre cent soixante et un; six cent quarante deux,1
22425,sept cent soixante douze; huit cent treize,1
22426,cent quatre vingt dix huit; trois cent neuf,1
22427,dix sept; quatre cent trente quatre,1
22428,quatre cent cinquante et un; huit cent quatre vingt dix huit,1
22429,sept cent soixante dix neuf; deux cent trente cinq,0
22430,six cent quatre vingt huit; sept cent neuf,1
22431,quatre vingt onze; six cent soixante huit,1
22432,neuf cent soixante dix huit; sept cent trente,0
22433,quatre cent soixante cinq; quatre cent quatre vingt un,1
22434,sept cent cinquante trois; neuf cents,1
22435,deux cent dix sept; huit cent quarante six,1
22436,cinq cent quatre vingt cinq; quatre cent quatre vingt onze,0
22437,neuf cent quatre vingt onze; cent onze,0
22438,cinq cent vingt et un; soixante huit,0
22439,trois cent quarante cinq; six cent quatre vingt treize,1
22440,six cent vingt sept; six cent cinquante six,1
22441,trois cent trente; huit cent quatre vingt treize,1
22442,neuf cent vingt six; deux cent trente cinq,0
22443,sept cent soixante; trois cent cinquante trois,0
22444,cinq cent quatre vingt onze; neuf cent onze,1
22445,quarante neuf; deux cent vingt deux,1
22446,huit cent deux; trois cent quatre vingt quinze,0
22447,cinq cent quatre vingt quinze; huit cent cinquante quatre,1
22448,trois cent quatre vingt seize; trente cinq,0
22449,trente et un; cent cinquante quatre,1
22450,quatre cent quatre vingt dix neuf; sept cent trente six,1
22451,sept cent cinquante deux; neuf cent soixante huit,1
22452,soixante quatre; cinq cent soixante neuf,1
22453,trois cent douze; quarante deux,0
22454,deux cent quatre vingt dix huit; cent cinquante six,0
22455,cent quarante deux; sept cent quarante et un,1
22456,quatre cent soixante quatre; sept cent soixante dix,1
22457,cinq cent soixante treize; sept cent quarante trois,1
22458,huit cent dix sept; cinq cent soixante trois,0
22459,six cent quatre vingt trois; sept cent quatre vingt six,1
22460,deux cent quarante sept; neuf cent quatre vingt trois,1
22461,cinq cent quarante; deux,0
22462,cent quatre vingt quatorze; deux cent cinquante quatre,1
22463,neuf cent quatre vingt dix; six cent quinze,0
22464,soixante sept; sept cent soixante huit,1
22465,cinq cent quarante; cinq cent soixante trois,1
22466,deux cent trente sept; deux cent vingt quatre,0
22467,deux cent quarante deux; six cent quarante trois,1
22468,six cent cinquante cinq; cinquante cinq,0
22469,trois cent quatre vingt un; deux cent trente deux,0
22470,cinq cent quatre; deux cent deux,0
22471,neuf cent quatre vingt onze; cent vingt trois,0
22472,huit cent cinquante; sept cent quatre vingt dix huit,0
22473,sept cent cinquante cinq; sept cent cinquante quatre,0
22474,sept cent dix; deux cent huit,0
22475,trois cent sept; trois cent cinquante six,1
22476,neuf cent cinquante trois; six cent quatorze,0
22477,six cent quatre vingts; trois cent vingt huit,0
22478,deux cent cinquante deux; cent cinquante et un,0
22479,neuf cent soixante quinze; deux cent quatre vingt huit,0
22480,neuf cent vingt cinq; quatre vingt quatre,0
22481,deux cent cinquante et un; cinq cent quatre vingt onze,1
22482,deux cent quarante et un; trois cent vingt quatre,1
22483,quatre vingt huit; vingt trois,0
22484,six cent soixante dix; trois cent trente neuf,0
22485,six cent soixante quinze; sept cent vingt huit,1
22486,quatre cent seize; huit cent cinquante cinq,1
22487,quatre cent soixante quatorze; deux cent quatre vingt quatorze,0
22488,cent quatre vingt treize; cinq cent cinq,1
22489,cinq cent trente et un; cinquante quatre,0
22490,quatre cent dix sept; six cent trois,1
22491,sept cent quarante neuf; cinq cent quarante huit,0
22492,cent six; quatre cent quatre vingt deux,1
22493,six cent soixante sept; six cent douze,0
22494,sept cent cinquante deux; quatre cent quarante trois,0
22495,neuf cents; deux cent trente trois,0
22496,trois cent quatre vingt seize; cent soixante huit,0
22497,deux cent quatre; deux cent trente cinq,1
22498,cinq cent vingt six; neuf cent trente six,1
22499,sept cent six; sept cent quatorze,1
22500,deux cent soixante trois; cinquante et un,0
22501,cinq cent quatre vingt dix; cinq cent quatre vingt dix huit,1
22502,cent vingt et un; trois cent deux,1
22503,cent quarante deux; cinq cent quarante sept,1
22504,trois cent trente six; deux cent quatre vingt seize,0
22505,six cent quatre vingts; neuf cent cinquante trois,1
22506,cinq cent trois; quatre cent soixante trois,0
22507,neuf cent soixante quatre; six cent quatre vingt dix sept,0
22508,quatre cent soixante quinze; trois cents,0
22509,cinquante trois; cent dix huit,1
22510,cinq cent soixante quatorze; neuf cent douze,1
22511,huit cent vingt cinq; sept cent soixante neuf,0
22512,quatre cent dix huit; deux cent soixante cinq,0
22513,six cent quatre vingt dix sept; cent cinquante six,0
22514,huit cent quatre vingt quatorze; huit cent soixante cinq,0
22515,deux cent trente; quatre vingt sept,0
22516,cent quatre vingt quatre; trois cent sept,1
22517,cent quinze; huit cent soixante quatre,1
22518,deux cent soixante dix; neuf cent soixante deux,1
22519,huit cent cinquante sept; neuf cent trente cinq,1
22520,cent; cent quatre vingt quatorze,1
22521,quatre cent cinquante neuf; vingt huit,0
22522,cent quatre vingt un; sept cent quatre vingt six,1
22523,trois cent quatre vingt trois; neuf cent trois,1
22524,sept cent quatre vingt quatre; six cent vingt,0
22525,soixante douze; cent vingt six,1
22526,six cent quatre vingt neuf; neuf cent cinquante neuf,1
22527,quatre; trois cent soixante deux,1
22528,huit cent quarante sept; six cent dix,0
22529,trois cent quatre vingt huit; quatre cent cinquante six,1
22530,cent treize; sept cent trente cinq,1
22531,sept cent soixante quatre; sept cent quarante trois,0
22532,quatre cent quatre vingts; six cent dix,1
22533,six cent quatre vingt cinq; soixante treize,0
22534,deux cent quarante trois; neuf cent cinquante,1
22535,huit cent cinquante; deux cent soixante,0
22536,cinq cent quatre vingt cinq; sept cent trente quatre,1
22537,neuf cent quinze; deux cent trente,0
22538,deux cent deux; trois cent vingt cinq,1
22539,neuf cent vingt et un; neuf cent trente et un,1
22540,cent quatre vingt neuf; six cent sept,1
22541,sept cent soixante neuf; deux cent quarante six,0
22542,six cent quatre vingt quatorze; cent vingt six,0
22543,neuf cent soixante quatorze; huit cent quatre,0
22544,trois cent dix neuf; neuf cent soixante quatre,1
22545,sept cent vingt deux; cinq cent vingt et un,0
22546,cinq cent quarante; huit cent trente quatre,1
22547,quatre cent six; cinq cent deux,1
22548,trois cent quatre vingt trois; trois cent trente cinq,0
22549,huit cent soixante six; neuf cent quatre vingt quatre,1
22550,deux cent quatre vingts; six cent trente trois,1
22551,sept cent trente six; deux cent quatre vingt dix,0
22552,cent quatre vingt dix sept; huit cent soixante seize,1
22553,sept cent quarante cinq; six cent quarante,0
22554,trois cent soixante dix neuf; cinq cent soixante et onze,1
22555,cent quatre vingt treize; sept cent quatre vingt huit,1
22556,sept cent soixante douze; quatre cent soixante quatre,0
22557,cent quatre vingt seize; neuf cent dix,1
22558,huit cent soixante quinze; huit cent cinquante et un,0
22559,sept cent trente cinq; deux cent quarante six,0
22560,quatre cent trente huit; cinq cent quarante cinq,1
22561,cinq cent un; six cent quatorze,1
22562,deux cent quatre vingt neuf; cinq cent soixante dix huit,1
22563,six cent soixante et onze; quatre cent dix sept,0
22564,deux cent quatre vingt cinq; neuf cent quatre vingt dix neuf,1
22565,quatre cent cinquante trois; cent cinq,0
22566,cinq cent cinquante cinq; six,0
22567,cent quarante quatre; sept cent quatre vingt onze,1
22568,six cent soixante et onze; cent vingt deux,0
22569,sept cent soixante trois; quatre cent trente sept,0
22570,huit cent trente deux; trois cent quatre vingt quatorze,0
22571,sept cent soixante dix sept; neuf cent soixante seize,1
22572,six cent deux; neuf cent cinq,1
22573,soixante seize; deux cent dix neuf,1
22574,sept cent quatre vingt quinze; cinq cent soixante,0
22575,deux cent quarante cinq; six cent trente deux,1
22576,cinq cent soixante douze; six cent trente neuf,1
22577,deux cent quatre vingt trois; quatre cent soixante quatorze,1
22578,soixante dix sept; trois cent deux,1
22579,quatre cent quatre vingt treize; cent vingt deux,0
22580,cinq cent onze; six cent sept,1
22581,neuf cent soixante trois; six cent quatre vingt cinq,0
22582,quatre vingt quinze; deux cent quatre vingt deux,1
22583,quatre vingt un; cent cinquante sept,1
22584,six cent dix sept; cent quatre vingt dix huit,0
22585,deux cent quatre vingt sept; vingt deux,0
22586,quatre cent soixante sept; cinq cent trente huit,1
22587,cent cinquante huit; deux cent soixante et un,1
22588,deux cent cinquante six; cinq cent soixante cinq,1
22589,six cent cinquante neuf; huit cent trente neuf,1
22590,cinq cent cinquante deux; trois cent vingt neuf,0
22591,cent cinquante six; cent vingt cinq,0
22592,deux cent quatre vingt quinze; trois cent quinze,1
22593,cent quatre vingt six; sept cent quatre vingt huit,1
22594,sept cent vingt six; sept cent vingt,0
22595,quatre cent quatre vingt six; deux cent soixante huit,0
22596,quatre cent quarante trois; neuf cent soixante et onze,1
22597,sept cent dix huit; neuf cent quatre vingt sept,1
22598,neuf cent quarante cinq; cent quatorze,0
22599,trois cent trente; six cent quatre vingt quatorze,1
22600,quatre cent neuf; quarante,0
22601,deux cent quatre vingt six; sept cent quatre vingt seize,1
22602,quatre vingt neuf; huit cent quatre vingt seize,1
22603,cent six; trente et un,0
22604,trois cent onze; quarante neuf,0
22605,huit cent dix; trente,0
22606,huit cent trente; huit cent quatre vingt treize,1
22607,trois cent soixante sept; six cent soixante sept,1
22608,trois cent quatre vingt treize; cinq cent vingt,1
22609,huit cent quarante cinq; quatre vingt treize,0
22610,cent vingt quatre; quatre vingt dix,0
22611,cent soixante douze; huit cent trente trois,1
22612,cinquante neuf; deux cent soixante six,1
22613,huit cent soixante et un; trois cent vingt neuf,0
22614,huit cent quatre vingt six; sept cent quatre vingt quatre,0
22615,six cent quatre vingt dix sept; neuf cent cinquante,1
22616,sept cent quatre vingt dix neuf; cinq cent trente quatre,0
22617,vingt six; deux cent quatre vingt seize,1
22618,cinq cent soixante seize; quatre cent trente quatre,0
22619,quatre cent quarante cinq; neuf cent soixante seize,1
22620,cinq cent dix; quatre cent dix sept,0
22621,neuf cent dix huit; cinq cent dix neuf,0
22622,cent quatre vingt sept; neuf cent trente,1
22623,cinq cent quarante sept; trois cent quatre vingt quatorze,0
22624,quatre cent trente huit; cinq cent soixante treize,1
22625,quatre cent dix neuf; trois cent treize,0
22626,sept cent vingt huit; deux cent cinquante quatre,0
22627,cent vingt trois; cent vingt,0
22628,sept cent cinquante quatre; neuf cent douze,1
22629,sept cent quatre vingts; trois cent quarante huit,0
22630,quatre cent quarante huit; quatre cent cinquante et un,1
22631,sept; huit cent six,1
22632,cinq cent quatre vingt quatre; cent quarante neuf,0
22633,deux cent quarante cinq; trois cent deux,1
22634,deux cent dix sept; cent onze,0
22635,neuf cent cinquante et un; sept cent huit,0
22636,sept cent quarante neuf; six cent soixante neuf,0
22637,quatre cent cinq; neuf cent quatre vingt dix neuf,1
22638,neuf cent soixante dix neuf; sept cent cinq,0
22639,quatre cent quinze; trois cent vingt deux,0
22640,cent quatre vingt cinq; six cent cinquante six,1
22641,quatre vingt onze; cent quatre vingt quatre,1
22642,six cent quatre vingt seize; trois cent soixante trois,0
22643,six cent quatre vingt quatorze; sept cent quatre,1
22644,deux cent quarante huit; quatre cent soixante dix sept,1
22645,sept cent trente cinq; quatre cent quatre vingt seize,0
22646,trois cent soixante sept; cinq cent huit,1
22647,sept cent cinquante cinq; cinq cent trente deux,0
22648,cent quarante; sept cent trente trois,1
22649,huit cent cinquante cinq; huit cent cinquante deux,0
22650,quatre cent seize; six cent dix,1
22651,huit cent dix; quatre cent vingt deux,0
22652,huit cent quatre vingt sept; six cent cinquante neuf,0
22653,sept cent un; six cent soixante trois,0
22654,deux cent quarante sept; quatre cent trente huit,1
22655,deux cent douze; quarante six,0
22656,six cent soixante dix huit; trois cent soixante et un,0
22657,trois cent cinquante six; sept cent trente deux,1
22658,deux cent quarante trois; sept cent cinquante six,1
22659,quatre cent trente neuf; neuf cent douze,1
22660,trois cent vingt deux; deux cent quatorze,0
22661,quatre cent quatre vingt un; neuf cent soixante quinze,1
22662,quatre cent quatre vingt dix; huit cent cinquante trois,1
22663,douze; deux cent dix neuf,1
22664,six cent vingt neuf; cinq cent quarante cinq,0
22665,neuf cent quarante huit; quatre vingt quatre,0
22666,quatre cent soixante quatre; neuf cent dix neuf,1
22667,trente et un; six cent quatre vingt un,1
22668,trois cent cinquante huit; deux cent vingt sept,0
22669,neuf cent soixante dix huit; cent quarante sept,0
22670,neuf cent treize; trois cent trente quatre,0
22671,sept cent soixante dix neuf; cinq cent quatre vingt huit,0
22672,neuf cent quatre vingt onze; quatre vingt dix,0
22673,huit cent quatre vingt dix neuf; trois cent neuf,0
22674,huit cent cinquante sept; six cent quatre vingt six,0
22675,sept cent quatre vingt huit; trois cent soixante quinze,0
22676,cinq cent quatre vingt dix sept; six cent quarante huit,1
22677,cent vingt six; quatre cent quatre vingt dix huit,1
22678,cent vingt trois; six cent quarante neuf,1
22679,deux cent vingt trois; soixante et un,0
22680,quatre cent quatre vingt seize; cent deux,0
22681,cinq cent onze; six cent vingt cinq,1
22682,cent neuf; quatre cent cinquante deux,1
22683,cent trente six; huit cent soixante deux,1
22684,six cent soixante treize; sept cent quatre,1
